,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
394,22140,08,09,18,19,20,27,15
395,22139,06,07,09,16,17,19,14
396,22138,02,14,19,21,25,28,11
397,22137,08,21,23,27,28,33,01
398,22136,08,10,14,15,18,22,08
399,22135,09,11,13,24,28,32,06
400,22134,01,05,14,17,24,31,14
401,22133,05,08,16,17,21,25,12
402,22132,01,03,18,26,32,33,04
403,22131,03,05,10,13,19,29,06
404,22130,02,08,15,17,26,28,12
405,22129,10,12,14,22,24,27,07
406,22128,03,12,18,24,27,29,01
407,22127,03,04,09,10,29,33,13
408,22126,01,13,15,17,26,33,13
409,22125,02,03,07,12,20,31,16
410,22124,05,10,13,18,24,26,01
411,22123,10,13,16,20,21,25,05
412,22122,06,08,17,19,24,28,05
413,22121,12,17,22,27,30,31,02
414,22120,02,15,19,26,27,29,02
415,22119,02,05,15,18,26,27,04
416,22118,02,06,07,11,14,33,08
417,22117,04,13,17,18,28,29,06
418,22116,08,14,26,27,30,33,01
419,22115,06,07,18,20,27,29,09
420,22114,01,05,15,19,26,29,13
421,22113,13,14,20,24,27,29,02
422,22112,03,05,08,17,25,31,01
423,22111,02,10,11,13,28,31,01
424,22110,09,13,15,18,20,28,15
425,22109,04,11,13,19,22,33,11
426,22108,01,07,13,17,18,31,15
427,22107,03,09,11,15,19,28,16
428,22106,17,20,22,23,24,31,01
429,22105,06,12,13,15,21,23,15
430,22104,01,08,19,25,26,31,01
431,22103,06,09,12,14,20,28,10
432,22102,09,10,12,18,29,32,14
433,22101,04,16,18,19,27,28,04
434,22100,02,06,07,15,20,21,15
435,22099,01,11,23,24,26,32,15
436,22098,02,03,04,06,21,33,05
437,22097,04,05,10,13,30,31,14
438,22096,03,16,17,19,25,33,07
439,22095,04,13,14,18,20,28,08
440,22094,06,11,13,16,19,31,02
441,22093,21,22,24,28,29,32,14
442,22092,07,10,16,20,21,27,11
443,22091,08,18,20,22,24,28,10
444,22090,01,04,25,27,29,30,07
445,22089,02,07,15,29,31,33,15
446,22088,03,09,15,17,20,22,06
447,22087,05,06,09,13,23,25,08
448,22086,01,04,08,21,23,24,11
449,22085,07,09,14,31,32,33,13
450,22084,03,18,23,24,25,32,09
451,22083,08,12,13,14,19,20,05
452,22082,04,10,11,23,30,32,14
453,22081,04,08,11,21,27,30,01
454,22080,05,12,15,17,18,27,04
455,22079,01,09,15,17,22,23,16
456,22078,01,04,05,15,17,31,09
457,22077,03,17,18,19,20,27,16
458,22076,08,09,10,13,24,29,02
459,22075,01,02,04,25,26,30,10
460,22074,05,07,15,19,29,33,15
461,22073,06,10,14,15,26,29,12
462,22072,05,14,15,16,18,32,12
463,22071,04,07,15,18,29,33,01
464,22070,04,06,09,27,28,33,02
465,22069,06,07,13,19,26,29,08
466,22068,07,12,15,24,26,29,06
467,22067,01,05,13,21,26,29,15
468,22066,06,11,14,20,27,30,09
469,22065,09,14,18,23,28,31,02
470,22064,04,06,12,13,17,31,16
471,22063,06,08,09,17,22,31,11
472,22062,16,18,20,21,23,33,05
473,22061,01,03,16,18,29,33,06
474,22060,16,18,19,24,28,32,01
475,22059,06,09,18,19,29,33,06
476,22058,06,13,14,23,31,33,01
477,22057,12,15,20,26,30,33,16
478,22056,01,06,11,14,17,26,15
479,22055,02,04,09,26,28,33,03
480,22054,08,12,21,27,28,33,11
481,22053,10,14,18,23,27,33,15
